sbj_num,muni,pais,sexo,nse,edad,rango_edad,rotacion1,index1,producto1,p1,p2,p3,p3_1,p3_2,p4,p5,p5_1,p5_2,p6,p7,p8_1,p8_2,p8_3,p8_4,p8_5,p9_1,p9_2,p9_3,p9_4,p9_5,p10,p11,p12,p12_1,p12_2,p13,p14,p14_1,p14_2,p15,p16,p17,p17_1,p17_2,lik_por,nivel_por,nivel_por_1,nivel_por_2,lik_tex,nivel_tex,nivel_tex_1,nivel_tex_2,p18,preferencia
181030232,4,2,1,2,39,3,1,PRODUCTO1,1,5,7,2,NA,NA,8,2,NA,NA,9,7,88,NA,NA,NA,NA,0,NA,NA,NA,NA,9,9,2,NA,NA,9,2,NA,NA,9,4,2,NA,NA,9,2,NA,NA,9,2,NA,NA,5,781
181030232,4,2,1,2,39,3,1,PRODUCTO2,2,6,8,1,2,NA,8,3,NA,1,9,7,111,50,NA,NA,NA,0,NA,NA,NA,NA,9,9,2,NA,NA,7,1,2,NA,6,3,1,2,NA,7,1,2,NA,8,2,NA,NA,5,781
181067150,4,2,1,2,24,2,2,PRODUCTO1,2,7,4,1,2,NA,4,1,2,NA,9,9,51,111,288,NA,NA,0,NA,NA,NA,NA,9,7,3,NA,1,9,3,NA,2,8,4,1,2,NA,7,3,NA,2,9,3,NA,2,5,781
181067150,4,2,1,2,24,2,2,PRODUCTO2,1,7,8,3,NA,2,9,1,1,NA,9,9,51,111,NA,NA,NA,0,NA,NA,NA,NA,9,7,3,NA,1,8,1,2,NA,6,4,2,NA,NA,7,1,2,NA,8,1,2,NA,5,781
181120913,4,2,2,2,24,2,1,PRODUCTO1,1,7,7,3,NA,2,7,2,NA,NA,7,7,51,NA,NA,NA,NA,0,NA,NA,NA,NA,7,7,2,NA,NA,8,2,NA,NA,8,4,2,NA,NA,7,2,NA,NA,7,2,NA,NA,4,182
181120913,4,2,2,2,24,2,1,PRODUCTO2,2,6,6,1,2,NA,6,3,NA,2,6,7,111,302,NA,NA,NA,702,315,NA,NA,NA,7,7,2,NA,NA,6,1,1,NA,6,5,3,NA,1,6,1,2,NA,6,3,NA,2,3,182
181063825,4,2,1,2,21,2,2,PRODUCTO1,2,5,5,1,2,NA,7,2,NA,NA,7,7,51,61,NA,NA,NA,0,NA,NA,NA,NA,8,7,2,NA,NA,8,2,NA,NA,7,3,1,2,NA,7,2,NA,NA,7,2,NA,NA,5,781
181063825,4,2,1,2,21,2,2,PRODUCTO2,1,5,6,3,NA,1,6,1,2,NA,6,6,87,NA,NA,NA,NA,0,NA,NA,NA,NA,6,7,3,NA,1,7,3,NA,1,6,1,1,2,NA,6,3,NA,1,8,1,2,NA,4,781
180975391,4,2,1,3,36,3,2,PRODUCTO1,2,6,7,2,NA,NA,7,2,NA,NA,8,7,276,59,NA,NA,NA,0,NA,NA,NA,NA,8,8,2,NA,NA,8,3,NA,2,8,4,2,NA,NA,8,2,NA,NA,8,2,NA,NA,5,781
180975391,4,2,1,3,36,3,2,PRODUCTO2,1,5,6,1,2,NA,6,1,2,NA,4,4,0,NA,NA,NA,NA,355,NA,NA,NA,NA,4,4,1,2,NA,4,1,2,NA,4,3,1,2,NA,4,1,2,NA,4,1,2,NA,2,781
181119828,4,2,2,2,25,2,1,PRODUCTO1,1,7,9,2,NA,NA,9,2,NA,NA,9,9,51,111,87,NA,NA,0,NA,NA,NA,NA,9,9,2,NA,NA,9,2,NA,NA,9,5,2,NA,NA,9,2,NA,NA,9,3,NA,2,5,781
181119828,4,2,2,2,25,2,1,PRODUCTO2,2,7,9,2,NA,NA,9,2,NA,NA,9,8,88,51,NA,NA,NA,0,NA,NA,NA,NA,9,9,2,NA,NA,9,2,NA,NA,9,5,3,NA,2,9,3,NA,2,9,3,NA,2,5,781
181009153,17,2,2,3,15,2,1,PRODUCTO1,1,6,8,2,NA,NA,9,2,NA,NA,8,8,111,303,NA,NA,NA,390,NA,NA,NA,NA,8,6,3,NA,1,8,2,NA,NA,8,5,2,NA,NA,8,2,NA,NA,7,3,NA,1,4,781
181009153,17,2,2,3,15,2,1,PRODUCTO2,2,6,8,2,NA,NA,8,2,NA,NA,7,9,51,201,303,NA,NA,0,NA,NA,NA,NA,9,8,2,NA,NA,9,2,NA,NA,8,5,2,NA,NA,9,2,NA,NA,8,2,NA,NA,4,781
180946533,4,2,2,2,19,2,2,PRODUCTO1,2,7,8,1,2,NA,9,2,NA,NA,8,9,51,111,276,NA,NA,0,NA,NA,NA,NA,8,8,2,NA,NA,9,1,2,NA,9,4,2,NA,NA,8,2,NA,NA,9,2,NA,NA,4,781
180946533,4,2,2,2,19,2,2,PRODUCTO2,1,4,6,1,1,NA,7,1,1,NA,7,6,57,51,NA,NA,NA,390,703,NA,NA,NA,6,4,3,NA,2,6,1,1,NA,4,3,2,NA,NA,5,3,NA,1,6,1,1,NA,4,781
181060493,4,2,1,2,19,2,2,PRODUCTO1,2,5,8,2,NA,NA,6,3,NA,1,7,8,51,111,113,NA,NA,0,NA,NA,NA,NA,8,9,2,NA,NA,9,2,NA,NA,8,3,1,2,NA,8,2,NA,NA,8,1,2,NA,5,781
181060493,4,2,1,2,19,2,2,PRODUCTO2,1,7,8,2,NA,NA,7,2,NA,NA,8,8,51,NA,NA,NA,NA,390,NA,NA,NA,NA,7,6,3,NA,1,8,2,NA,NA,7,3,2,NA,NA,8,2,NA,NA,8,2,NA,NA,4,781
181032088,17,2,1,3,17,2,1,PRODUCTO1,1,7,8,2,NA,NA,8,2,NA,NA,9,8,51,115,275,NA,NA,0,NA,NA,NA,NA,8,8,2,NA,NA,8,2,NA,NA,8,4,2,NA,NA,8,2,NA,NA,8,2,NA,NA,5,781
181032088,17,2,1,3,17,2,1,PRODUCTO2,2,6,8,2,NA,NA,8,3,NA,1,8,8,51,113,NA,NA,NA,0,NA,NA,NA,NA,8,8,2,NA,NA,8,2,NA,NA,8,4,2,NA,NA,8,2,NA,NA,8,2,NA,NA,5,781
181011593,17,2,1,3,40,3,2,PRODUCTO1,2,7,7,2,NA,NA,7,2,NA,NA,7,8,86,111,201,NA,NA,0,NA,NA,NA,NA,9,7,2,NA,NA,8,2,NA,NA,6,4,1,2,NA,8,1,2,NA,8,2,NA,NA,5,781
181011593,17,2,1,3,40,3,2,PRODUCTO2,1,5,6,3,NA,2,4,1,1,NA,4,7,111,51,113,NA,NA,703,NA,NA,NA,NA,7,7,1,2,NA,7,1,2,NA,7,2,1,2,NA,7,1,1,NA,7,2,NA,NA,5,781
181119951,4,2,1,2,40,3,1,PRODUCTO1,1,7,9,2,NA,NA,8,3,NA,2,9,9,87,NA,NA,NA,NA,0,NA,NA,NA,NA,9,9,2,NA,NA,8,1,2,NA,7,4,2,NA,NA,7,2,NA,NA,8,1,2,NA,5,182
181119951,4,2,1,2,40,3,1,PRODUCTO2,2,5,4,3,NA,2,6,3,NA,2,6,7,87,NA,NA,NA,NA,310,NA,NA,NA,NA,9,9,2,NA,NA,9,3,NA,1,7,4,2,NA,NA,7,2,NA,NA,7,2,NA,NA,5,182
181032182,17,2,2,3,34,3,2,PRODUCTO1,2,7,9,2,NA,NA,9,2,NA,NA,9,9,51,111,11,202,NA,0,NA,NA,NA,NA,9,9,2,NA,NA,9,3,NA,2,9,5,2,NA,NA,8,2,NA,NA,9,2,NA,NA,5,781
181032182,17,2,2,3,34,3,2,PRODUCTO2,1,5,7,1,1,NA,6,1,2,NA,6,7,51,NA,NA,NA,NA,315,355,NA,NA,NA,7,6,1,2,NA,7,1,1,NA,7,3,1,1,NA,6,1,2,NA,6,1,1,NA,4,781
181020082,4,2,1,2,37,3,2,PRODUCTO1,2,7,9,2,NA,NA,9,2,NA,NA,9,9,51,NA,NA,NA,NA,0,NA,NA,NA,NA,9,9,2,NA,NA,9,2,NA,NA,9,4,2,NA,NA,8,2,NA,NA,9,2,NA,NA,5,182
181020082,4,2,1,2,37,3,2,PRODUCTO2,1,7,9,2,NA,NA,9,2,NA,NA,9,9,51,111,NA,NA,NA,0,NA,NA,NA,NA,9,9,2,NA,NA,9,2,NA,NA,9,4,2,NA,NA,9,2,NA,NA,9,2,NA,NA,5,182
181032381,4,2,1,2,40,3,1,PRODUCTO1,1,5,7,2,NA,NA,8,2,NA,NA,9,7,88,NA,NA,NA,NA,0,NA,NA,NA,NA,9,8,2,NA,NA,9,2,NA,NA,3,3,2,NA,NA,9,2,NA,NA,9,2,NA,NA,5,781
181032381,4,2,1,2,40,3,1,PRODUCTO2,2,7,8,2,NA,NA,9,2,NA,NA,8,9,50,NA,NA,NA,NA,0,NA,NA,NA,NA,9,8,1,2,NA,9,2,NA,NA,9,3,2,NA,NA,9,2,NA,NA,8,2,NA,NA,5,781
181011558,17,2,1,3,35,3,2,PRODUCTO1,2,5,7,2,NA,NA,8,2,NA,NA,9,9,51,113,NA,NA,NA,0,NA,NA,NA,NA,8,9,2,NA,NA,9,2,NA,NA,8,5,2,NA,NA,9,2,NA,NA,9,2,NA,NA,5,182
181011558,17,2,1,3,35,3,2,PRODUCTO2,1,6,7,2,NA,NA,8,2,NA,NA,9,8,51,303,NA,NA,NA,0,NA,NA,NA,NA,8,7,2,NA,NA,9,2,NA,NA,8,5,2,NA,NA,9,2,NA,NA,8,2,NA,NA,5,182
180964244,4,2,2,3,18,2,1,PRODUCTO1,1,5,7,2,NA,NA,7,2,NA,NA,8,9,51,111,NA,NA,NA,0,NA,NA,NA,NA,9,9,2,NA,NA,9,3,NA,1,8,5,2,NA,NA,8,2,NA,NA,7,3,NA,1,5,781
180964244,4,2,2,3,18,2,1,PRODUCTO2,2,7,7,3,NA,1,7,3,NA,1,7,7,111,87,NA,NA,NA,0,NA,NA,NA,NA,7,7,3,NA,1,8,2,NA,NA,7,5,3,NA,1,7,2,NA,NA,7,2,NA,NA,4,781
181019999,17,2,2,3,20,2,1,PRODUCTO1,1,6,9,2,NA,NA,8,2,NA,NA,9,9,59,111,NA,NA,NA,0,NA,NA,NA,NA,9,9,2,NA,NA,9,2,NA,NA,9,4,2,NA,NA,7,2,NA,NA,9,2,NA,NA,5,182
181019999,17,2,2,3,20,2,1,PRODUCTO2,2,5,7,1,2,NA,4,1,2,NA,7,9,51,NA,NA,NA,NA,702,NA,NA,NA,NA,9,8,2,NA,NA,9,2,NA,NA,9,5,2,NA,NA,7,2,NA,NA,9,2,NA,NA,5,182
181065570,4,2,2,2,40,3,2,PRODUCTO1,2,7,9,2,NA,NA,8,2,NA,NA,7,9,59,111,275,288,NA,0,NA,NA,NA,NA,8,8,2,NA,NA,9,2,NA,NA,8,4,2,NA,NA,8,2,NA,NA,9,2,NA,NA,5,781
181065570,4,2,2,2,40,3,2,PRODUCTO2,1,6,6,1,2,NA,5,1,2,NA,6,7,51,111,NA,NA,NA,310,NA,NA,NA,NA,6,7,2,NA,NA,8,2,NA,NA,7,5,2,NA,NA,7,1,2,NA,7,1,2,NA,3,781
180966091,4,2,2,3,33,3,2,PRODUCTO1,2,6,7,2,NA,NA,8,2,NA,NA,7,9,111,114,51,NA,NA,0,NA,NA,NA,NA,9,8,2,NA,NA,9,2,NA,NA,8,4,2,NA,NA,7,2,NA,NA,8,2,NA,NA,5,781
180966091,4,2,2,3,33,3,2,PRODUCTO2,1,5,7,3,NA,1,6,1,1,NA,6,7,57,51,303,111,NA,703,NA,NA,NA,NA,8,7,2,NA,NA,6,1,2,NA,7,3,1,2,NA,7,2,NA,NA,7,2,NA,NA,4,781
181015306,17,2,2,3,40,3,1,PRODUCTO1,1,7,8,3,NA,2,5,3,NA,2,9,7,51,288,NA,NA,NA,0,NA,NA,NA,NA,8,5,1,2,NA,6,1,2,NA,8,5,3,NA,2,7,3,NA,1,6,3,NA,2,4,781
181015306,17,2,2,3,40,3,1,PRODUCTO2,2,7,9,3,NA,1,7,3,NA,2,8,9,51,15,NA,NA,NA,0,NA,NA,NA,NA,9,9,3,NA,2,9,3,NA,2,8,5,3,NA,2,8,3,NA,2,9,3,NA,2,3,781
180975429,4,2,1,3,16,2,2,PRODUCTO1,2,6,8,3,NA,1,8,2,NA,NA,7,8,51,10,NA,NA,NA,0,NA,NA,NA,NA,8,7,1,2,NA,8,3,NA,1,7,4,3,NA,2,7,1,2,NA,7,3,NA,1,5,781
180975429,4,2,1,3,16,2,2,PRODUCTO2,1,5,7,1,1,NA,7,1,2,NA,6,7,10,NA,NA,NA,NA,390,NA,NA,NA,NA,7,6,3,NA,1,8,2,NA,NA,8,3,1,2,NA,6,3,NA,1,7,1,2,NA,4,781
181062173,4,2,1,2,15,2,1,PRODUCTO1,1,5,8,2,NA,NA,6,3,NA,1,9,9,111,51,NA,NA,NA,0,NA,NA,NA,NA,7,7,2,NA,NA,9,3,NA,1,6,5,2,NA,NA,7,3,NA,1,8,2,NA,NA,5,781
181062173,4,2,1,2,15,2,1,PRODUCTO2,2,6,7,1,2,NA,8,3,NA,2,9,9,51,111,11,NA,NA,0,NA,NA,NA,NA,9,7,2,NA,NA,9,2,NA,NA,8,5,3,NA,1,8,2,NA,NA,7,1,2,NA,4,781
180967102,4,2,2,3,23,2,2,PRODUCTO1,2,5,6,1,2,NA,7,2,NA,NA,7,6,51,111,NA,NA,NA,0,NA,NA,NA,NA,7,7,2,NA,NA,9,1,1,NA,7,3,2,NA,NA,7,1,1,NA,8,2,NA,NA,4,781
180967102,4,2,2,3,23,2,2,PRODUCTO2,1,6,8,2,NA,NA,6,3,NA,1,7,6,111,202,201,NA,NA,0,NA,NA,NA,NA,6,7,1,2,NA,8,1,1,NA,6,3,1,1,NA,7,3,NA,1,7,1,1,NA,4,781
180969933,4,2,2,3,40,3,1,PRODUCTO1,1,7,9,2,NA,NA,9,2,NA,NA,9,9,111,112,NA,NA,NA,0,NA,NA,NA,NA,9,9,2,NA,NA,9,2,NA,NA,9,4,2,NA,NA,9,2,NA,NA,9,2,NA,NA,5,781
180969933,4,2,2,3,40,3,1,PRODUCTO2,2,7,9,2,NA,NA,9,2,NA,NA,9,9,51,111,276,NA,NA,0,NA,NA,NA,NA,9,9,2,NA,NA,9,2,NA,NA,9,5,2,NA,NA,9,2,NA,NA,9,2,NA,NA,5,781
180977078,4,2,2,3,35,3,2,PRODUCTO1,2,3,7,1,2,NA,7,3,NA,2,8,7,111,276,NA,NA,NA,392,NA,NA,NA,NA,7,7,1,2,NA,8,3,NA,2,7,5,3,NA,2,8,3,NA,2,7,3,NA,2,5,781
180977078,4,2,2,3,35,3,2,PRODUCTO2,1,5,6,1,2,NA,6,1,1,NA,7,8,87,NA,NA,NA,NA,703,NA,NA,NA,NA,7,8,3,NA,1,8,1,2,NA,9,4,3,NA,1,7,1,2,NA,7,1,2,NA,4,781
180948412,4,2,1,2,30,3,1,PRODUCTO1,1,5,9,2,NA,NA,9,2,NA,NA,9,9,51,111,NA,NA,NA,0,NA,NA,NA,NA,9,8,2,NA,NA,9,2,NA,NA,9,5,2,NA,NA,9,2,NA,NA,9,2,NA,NA,5,781
180948412,4,2,1,2,30,3,1,PRODUCTO2,2,7,9,2,NA,NA,8,2,NA,NA,9,9,51,111,NA,NA,NA,0,NA,NA,NA,NA,9,8,2,NA,NA,9,2,NA,NA,9,5,2,NA,NA,9,2,NA,NA,9,2,NA,NA,5,781
181125963,4,2,1,2,34,3,2,PRODUCTO1,2,7,9,2,NA,NA,9,2,NA,NA,9,9,51,NA,NA,NA,NA,0,NA,NA,NA,NA,9,8,2,NA,NA,9,3,NA,1,8,5,3,NA,2,9,2,NA,NA,8,3,NA,2,5,781
181125963,4,2,1,2,34,3,2,PRODUCTO2,1,7,9,3,NA,1,8,1,2,NA,9,9,113,111,NA,NA,NA,0,NA,NA,NA,NA,9,9,2,NA,NA,9,3,NA,2,9,5,3,NA,1,9,2,NA,NA,9,3,NA,1,5,781
180965611,4,2,2,3,18,2,2,PRODUCTO1,2,6,7,2,NA,NA,9,2,NA,NA,8,7,51,111,55,288,NA,704,NA,NA,NA,NA,8,6,3,NA,1,8,2,NA,NA,8,4,1,2,NA,7,2,NA,NA,6,3,NA,1,5,781
180965611,4,2,2,3,18,2,2,PRODUCTO2,1,5,5,1,2,NA,4,1,2,NA,6,5,57,51,NA,NA,NA,390,313,NA,NA,NA,6,4,3,NA,2,7,1,2,NA,4,3,2,NA,NA,7,2,NA,NA,7,2,NA,NA,5,781
181070490,4,2,2,2,35,3,2,PRODUCTO1,2,7,9,2,NA,NA,9,2,NA,NA,9,9,51,NA,NA,NA,NA,0,NA,NA,NA,NA,9,9,2,NA,NA,9,2,NA,NA,9,5,2,NA,NA,9,2,NA,NA,9,2,NA,NA,5,781
181070490,4,2,2,2,35,3,2,PRODUCTO2,1,7,9,2,NA,NA,9,2,NA,NA,9,9,51,NA,NA,NA,NA,0,NA,NA,NA,NA,9,9,2,NA,NA,9,2,NA,NA,9,4,2,NA,NA,9,3,NA,2,9,2,NA,NA,5,781
181031765,17,2,1,3,22,2,2,PRODUCTO1,2,3,7,2,NA,NA,9,2,NA,NA,7,8,301,51,NA,NA,NA,732,NA,NA,NA,NA,8,6,1,2,NA,9,2,NA,NA,7,3,1,1,NA,5,3,NA,1,8,2,NA,NA,5,781
181031765,17,2,1,3,22,2,2,PRODUCTO2,1,6,7,3,NA,1,9,2,NA,NA,7,9,51,57,11,NA,NA,310,NA,NA,NA,NA,8,6,1,2,NA,8,2,NA,NA,8,2,1,2,NA,7,3,NA,1,9,2,NA,NA,4,781
181031764,17,2,1,3,20,2,1,PRODUCTO1,1,3,7,3,NA,1,7,2,NA,NA,8,7,88,NA,NA,NA,NA,0,NA,NA,NA,NA,7,4,1,2,NA,6,3,NA,2,6,3,1,2,NA,6,1,1,NA,7,2,NA,NA,4,781
181031764,17,2,1,3,20,2,1,PRODUCTO2,2,5,7,2,NA,NA,7,2,NA,NA,7,7,51,276,NA,NA,NA,0,NA,NA,NA,NA,9,9,2,NA,NA,9,2,NA,NA,7,4,2,NA,NA,7,3,NA,2,8,2,NA,NA,5,781
181065626,4,2,1,2,19,2,2,PRODUCTO1,2,7,7,2,NA,NA,8,2,NA,NA,8,8,275,11,51,NA,NA,0,NA,NA,NA,NA,8,8,2,NA,NA,8,2,NA,NA,8,3,2,NA,NA,9,2,NA,NA,8,2,NA,NA,5,781
181065626,4,2,1,2,19,2,2,PRODUCTO2,1,7,8,3,NA,2,7,1,2,NA,7,8,275,51,NA,NA,NA,390,NA,NA,NA,NA,8,6,3,NA,1,8,2,NA,NA,8,3,2,NA,NA,8,2,NA,NA,8,2,NA,NA,5,781
181060887,4,2,2,2,40,3,1,PRODUCTO1,1,6,8,2,NA,NA,9,2,NA,NA,8,9,51,113,57,NA,NA,0,NA,NA,NA,NA,9,9,2,NA,NA,9,2,NA,NA,9,5,2,NA,NA,9,2,NA,NA,9,2,NA,NA,5,781
181060887,4,2,2,2,40,3,1,PRODUCTO2,2,6,7,2,NA,NA,7,3,NA,2,8,9,111,51,86,NA,NA,702,713,NA,NA,NA,9,9,2,NA,NA,9,2,NA,NA,9,5,2,NA,NA,9,2,NA,NA,9,2,NA,NA,5,781
181126494,4,2,1,2,33,3,2,PRODUCTO1,2,7,8,2,NA,NA,8,2,NA,NA,9,9,51,NA,NA,NA,NA,392,NA,NA,NA,NA,9,8,2,NA,NA,9,2,NA,NA,9,5,2,NA,NA,8,2,NA,NA,8,2,NA,NA,5,781
181126494,4,2,1,2,33,3,2,PRODUCTO2,1,7,8,2,NA,NA,8,3,NA,1,8,9,59,NA,NA,NA,NA,390,NA,NA,NA,NA,9,7,3,NA,1,9,2,NA,NA,8,5,2,NA,NA,8,2,NA,NA,8,2,NA,NA,5,781
181060598,4,2,2,2,15,2,2,PRODUCTO1,2,3,3,1,2,NA,7,3,NA,2,4,6,51,10,NA,NA,NA,702,NA,NA,NA,NA,6,3,3,NA,1,4,3,NA,1,6,2,1,2,NA,7,2,NA,NA,7,2,NA,NA,1,182
181060598,4,2,2,2,15,2,2,PRODUCTO2,1,6,7,2,NA,NA,6,1,2,NA,5,7,51,275,NA,NA,NA,0,NA,NA,NA,NA,6,8,1,2,NA,8,2,NA,NA,7,3,2,NA,NA,7,2,NA,NA,7,2,NA,NA,5,182
180972012,4,2,1,2,15,2,1,PRODUCTO1,1,3,9,1,2,NA,8,2,NA,NA,9,9,11,51,NA,NA,NA,0,NA,NA,NA,NA,9,8,1,2,NA,9,2,NA,NA,9,4,2,NA,NA,9,1,2,NA,8,1,2,NA,5,182
180972012,4,2,1,2,15,2,1,PRODUCTO2,2,7,8,1,2,NA,8,2,NA,NA,9,8,275,51,NA,NA,NA,0,NA,NA,NA,NA,9,8,1,2,NA,9,2,NA,NA,8,5,2,NA,NA,8,1,2,NA,9,1,2,NA,4,182
181016136,4,2,1,3,15,2,2,PRODUCTO1,2,6,9,2,NA,NA,9,2,NA,NA,9,7,50,51,NA,NA,NA,0,NA,NA,NA,NA,9,7,2,NA,NA,8,2,NA,NA,9,5,2,NA,NA,9,2,NA,NA,7,2,NA,NA,5,781
181016136,4,2,1,3,15,2,2,PRODUCTO2,1,5,7,2,NA,NA,9,2,NA,NA,8,9,51,275,86,NA,NA,0,NA,NA,NA,NA,8,9,2,NA,NA,7,2,NA,NA,9,4,3,NA,1,9,2,NA,NA,8,2,NA,NA,5,781
180946716,4,2,2,3,32,3,2,PRODUCTO1,2,6,5,3,NA,2,7,3,NA,2,7,7,50,NA,NA,NA,NA,0,NA,NA,NA,NA,9,7,2,NA,NA,8,2,NA,NA,9,5,3,NA,2,8,3,NA,2,8,2,NA,NA,4,781
180946716,4,2,2,3,32,3,2,PRODUCTO2,1,7,9,3,NA,2,7,3,NA,2,9,8,51,NA,NA,NA,NA,0,NA,NA,NA,NA,9,7,1,1,NA,7,3,NA,2,7,5,3,NA,2,7,2,NA,NA,7,2,NA,NA,5,781
180977203,4,2,1,3,21,2,2,PRODUCTO1,2,6,7,2,NA,NA,8,2,NA,NA,9,7,50,115,NA,NA,NA,0,NA,NA,NA,NA,8,9,2,NA,NA,9,2,NA,NA,8,4,2,NA,NA,8,2,NA,NA,9,2,NA,NA,4,781
180977203,4,2,1,3,21,2,2,PRODUCTO2,1,6,6,1,2,NA,7,1,2,NA,7,7,57,51,115,NA,NA,0,NA,NA,NA,NA,8,7,1,2,NA,8,2,NA,NA,8,3,1,2,NA,8,2,NA,NA,7,1,2,NA,4,781
181009667,17,2,2,3,40,3,1,PRODUCTO1,1,6,8,2,NA,NA,8,2,NA,NA,8,8,50,275,51,NA,NA,0,NA,NA,NA,NA,8,9,2,NA,NA,9,2,NA,NA,8,5,2,NA,NA,8,2,NA,NA,8,2,NA,NA,5,182
181009667,17,2,2,3,40,3,1,PRODUCTO2,2,6,9,3,NA,1,7,3,NA,1,8,8,111,51,NA,NA,NA,0,NA,NA,NA,NA,8,8,3,NA,1,9,2,NA,NA,9,5,2,NA,NA,9,2,NA,NA,9,2,NA,NA,5,182
180947744,4,2,2,3,15,2,2,PRODUCTO1,2,6,8,1,2,NA,5,1,2,NA,3,7,50,NA,NA,NA,NA,0,NA,NA,NA,NA,8,6,1,2,NA,3,3,NA,2,8,4,1,2,NA,8,1,2,NA,9,1,2,NA,4,182
180947744,4,2,2,3,15,2,2,PRODUCTO2,1,6,3,1,2,NA,6,1,2,NA,4,4,87,NA,NA,NA,NA,390,NA,NA,NA,NA,3,6,1,2,NA,9,1,2,NA,9,5,1,2,NA,9,1,2,NA,4,1,2,NA,3,182
181020188,17,2,2,3,15,2,2,PRODUCTO1,2,6,9,3,NA,1,8,3,NA,2,8,9,51,10,276,NA,NA,0,NA,NA,NA,NA,9,7,2,NA,NA,8,2,NA,NA,7,3,3,NA,2,7,1,1,NA,8,3,NA,2,4,781
181020188,17,2,2,3,15,2,2,PRODUCTO2,1,6,8,3,NA,1,7,1,2,NA,9,9,10,279,51,NA,NA,0,NA,NA,NA,NA,9,7,1,1,NA,9,3,NA,1,8,5,3,NA,1,9,3,NA,2,9,1,2,NA,5,781
181060314,4,2,1,2,15,2,2,PRODUCTO1,2,7,9,2,NA,NA,8,2,NA,NA,9,9,51,11,275,NA,NA,0,NA,NA,NA,NA,9,9,2,NA,NA,9,2,NA,NA,9,4,2,NA,NA,9,2,NA,NA,9,2,NA,NA,5,781
181060314,4,2,1,2,15,2,2,PRODUCTO2,1,7,8,2,NA,NA,9,2,NA,NA,9,9,11,275,NA,NA,NA,0,NA,NA,NA,NA,9,9,2,NA,NA,7,2,NA,NA,9,5,2,NA,NA,9,2,NA,NA,9,2,NA,NA,5,781
180977520,4,2,1,3,36,3,1,PRODUCTO1,1,6,9,2,NA,NA,8,2,NA,NA,8,8,51,NA,NA,NA,NA,0,NA,NA,NA,NA,8,8,2,NA,NA,8,2,NA,NA,8,5,2,NA,NA,8,2,NA,NA,8,2,NA,NA,5,781
180977520,4,2,1,3,36,3,1,PRODUCTO2,2,6,8,2,NA,NA,8,2,NA,NA,8,8,50,NA,NA,NA,NA,0,NA,NA,NA,NA,8,8,2,NA,NA,9,2,NA,NA,8,5,2,NA,NA,9,2,NA,NA,8,2,NA,NA,5,781
180971299,4,2,1,3,38,3,1,PRODUCTO1,1,6,8,2,NA,NA,9,2,NA,NA,8,9,51,277,111,NA,NA,0,NA,NA,NA,NA,9,9,2,NA,NA,9,2,NA,NA,9,3,3,NA,1,8,2,NA,NA,9,2,NA,NA,5,781
180971299,4,2,1,3,38,3,1,PRODUCTO2,2,5,7,1,2,NA,6,3,NA,2,6,9,50,111,88,NA,NA,0,NA,NA,NA,NA,9,9,2,NA,NA,9,2,NA,NA,8,4,2,NA,NA,8,2,NA,NA,8,2,NA,NA,5,781
180961592,4,2,1,3,25,2,1,PRODUCTO1,1,5,8,2,NA,NA,9,3,NA,2,9,8,51,111,NA,NA,NA,0,NA,NA,NA,NA,9,7,1,2,NA,9,1,2,NA,9,4,3,NA,1,7,2,NA,NA,8,2,NA,NA,4,781
180961592,4,2,1,3,25,2,1,PRODUCTO2,2,7,7,1,2,NA,9,2,NA,NA,9,9,51,111,NA,NA,NA,0,NA,NA,NA,NA,9,7,2,NA,NA,9,2,NA,NA,9,5,2,NA,NA,9,2,NA,NA,9,2,NA,NA,4,781
